"","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Rango_Age","Sobreviviente"
"1","Tercera clase","Masculino",22,"Con hermanos o cónyuges","Sin hijos ni padres",7.25,"Southampton","21-30","No"
"2","Primera clase","Femenino",38,"Con hermanos o cónyuges","Sin hijos ni padres",71.2833,"Cherbourg","31-40","Sí"
"3","Tercera clase","Femenino",26,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.925,"Southampton","21-30","Sí"
"4","Primera clase","Femenino",35,"Con hermanos o cónyuges","Sin hijos ni padres",53.1,"Southampton","31-40","Sí"
"5","Tercera clase","Masculino",35,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.05,"Southampton","31-40","No"
"6","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.4583,"Queenstown","21-30","No"
"7","Primera clase","Masculino",54,"Sin hermanos ni cónyuges","Sin hijos ni padres",51.8625,"Southampton","51-60","No"
"8","Tercera clase","Masculino",2,"Con hermanos o cónyuges","Con hijos o padres",21.075,"Southampton","0-10","No"
"9","Tercera clase","Femenino",27,"Sin hermanos ni cónyuges","Con hijos o padres",11.1333,"Southampton","21-30","Sí"
"10","Segunda clase","Femenino",14,"Con hermanos o cónyuges","Sin hijos ni padres",30.0708,"Cherbourg","11-20","Sí"
"11","Tercera clase","Femenino",4,"Con hermanos o cónyuges","Con hijos o padres",16.7,"Southampton","0-10","Sí"
"12","Primera clase","Femenino",58,"Sin hermanos ni cónyuges","Sin hijos ni padres",26.55,"Southampton","51-60","Sí"
"13","Tercera clase","Masculino",20,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.05,"Southampton","11-20","No"
"14","Tercera clase","Masculino",39,"Con hermanos o cónyuges","Con hijos o padres",31.275,"Southampton","31-40","No"
"15","Tercera clase","Femenino",14,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8542,"Southampton","11-20","No"
"16","Segunda clase","Femenino",55,"Sin hermanos ni cónyuges","Sin hijos ni padres",16,"Southampton","51-60","Sí"
"17","Tercera clase","Masculino",2,"Con hermanos o cónyuges","Con hijos o padres",29.125,"Queenstown","0-10","No"
"18","Segunda clase","Masculino",37,"Sin hermanos ni cónyuges","Sin hijos ni padres",13,"Southampton","31-40","Sí"
"19","Tercera clase","Femenino",31,"Con hermanos o cónyuges","Sin hijos ni padres",18,"Southampton","31-40","No"
"20","Tercera clase","Femenino",22,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.225,"Cherbourg","21-30","Sí"
"21","Segunda clase","Masculino",35,"Sin hermanos ni cónyuges","Sin hijos ni padres",26,"Southampton","31-40","No"
"22","Segunda clase","Masculino",34,"Sin hermanos ni cónyuges","Sin hijos ni padres",13,"Southampton","31-40","Sí"
"23","Tercera clase","Femenino",15,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.0292,"Queenstown","11-20","Sí"
"24","Primera clase","Masculino",28,"Sin hermanos ni cónyuges","Sin hijos ni padres",35.5,"Southampton","21-30","Sí"
"25","Tercera clase","Femenino",8,"Con hermanos o cónyuges","Con hijos o padres",21.075,"Southampton","0-10","No"
"26","Tercera clase","Femenino",38,"Con hermanos o cónyuges","Con hijos o padres",31.3875,"Southampton","31-40","Sí"
"27","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.225,"Cherbourg","21-30","No"
"28","Primera clase","Masculino",19,"Con hermanos o cónyuges","Con hijos o padres",263,"Southampton","11-20","No"
"29","Tercera clase","Femenino",22,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8792,"Queenstown","21-30","Sí"
"30","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8958,"Southampton","21-30","No"
"31","Primera clase","Masculino",40,"Sin hermanos ni cónyuges","Sin hijos ni padres",27.7208,"Cherbourg","31-40","No"
"32","Primera clase","Femenino",37,"Con hermanos o cónyuges","Sin hijos ni padres",146.5208,"Cherbourg","31-40","Sí"
"33","Tercera clase","Femenino",22,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.75,"Queenstown","21-30","Sí"
"34","Segunda clase","Masculino",66,"Sin hermanos ni cónyuges","Sin hijos ni padres",10.5,"Southampton","61-70","No"
"35","Primera clase","Masculino",28,"Con hermanos o cónyuges","Sin hijos ni padres",82.1708,"Cherbourg","21-30","No"
"36","Primera clase","Masculino",42,"Con hermanos o cónyuges","Sin hijos ni padres",52,"Southampton","41-50","No"
"37","Tercera clase","Masculino",28,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.2292,"Cherbourg","21-30","Sí"
"38","Tercera clase","Masculino",21,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.05,"Southampton","21-30","No"
